"","CMP_rep1","CMP_rep2","Erythroblast_rep1","Erythroblast_rep2"
"CMP_rep1",1,0.949656012002148,0.660302510303236,0.64492497767635
"CMP_rep2",0.949656012002148,1,0.676899323172978,0.661754893146989
"Erythroblast_rep1",0.660302510303236,0.676899323172978,1,0.882645343941274
"Erythroblast_rep2",0.64492497767635,0.661754893146989,0.882645343941274,1
