"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","comparison"
10.6189071567943,8.3589201053091,44.6291423260402,1.6517864603707e-08,5.11485583927015e-05,9.05353460665473,"ENSMUSG00000042066.11","Erythroblast vs HSC"
13.287193656768,9.48892933136698,44.1688750772193,1.75266003016661e-08,5.11485583927015e-05,8.80652292632849,"ENSMUSG00000069917.7","Erythroblast vs HSC"
7.71623525757992,8.50594942735438,43.9744579802389,1.7974306528021e-08,5.11485583927015e-05,9.70688630834131,"ENSMUSG00000042331.9","Erythroblast vs HSC"
7.78006630594714,9.10120433571031,42.4905897955216,2.18717399250324e-08,5.11485583927015e-05,9.66680905570598,"ENSMUSG00000034248.7","Erythroblast vs HSC"
7.03322969470744,9.12341335351711,42.0117474111645,2.33356664483378e-08,5.11485583927015e-05,9.67715157538493,"ENSMUSG00000053641.8","Erythroblast vs HSC"
7.67866595835774,9.83740004116142,39.7858922669094,3.18524441635756e-08,5.11485583927015e-05,9.47738019335788,"ENSMUSG00000022100.9","Erythroblast vs HSC"
11.8746509745315,8.15491533634331,39.3045164976553,3.41469679965104e-08,5.11485583927015e-05,8.15556483083004,"ENSMUSG00000073940.3","Erythroblast vs HSC"
6.83183837687539,8.54963456943026,38.7536061681753,3.70151627920927e-08,5.11485583927015e-05,9.34507249914777,"ENSMUSG00000027346.11","Erythroblast vs HSC"
6.91104154017569,9.54226999763383,38.0697515975832,4.0978356069452e-08,5.11485583927015e-05,9.32903260876021,"ENSMUSG00000028906.11","Erythroblast vs HSC"
6.43544153706674,9.07711438667883,37.9590875865079,4.16655473364763e-08,5.11485583927015e-05,9.31868534977566,"ENSMUSG00000004319.11","Erythroblast vs HSC"
8.21437542584297,7.35762884967403,37.4461321837777,4.5033001842034e-08,5.11485583927015e-05,8.72639644938237,"ENSMUSG00000020802.8","Erythroblast vs HSC"
6.39445565401314,7.88907946280677,36.9976775356251,4.82412634574134e-08,5.11485583927015e-05,9.11761177799862,"ENSMUSG00000040859.10","Erythroblast vs HSC"
