"","HSC_rep1","HSC_rep2","CMP_rep1","CMP_rep2","CFUE_rep1","CFUE_rep2","Erythroblast_rep1","Erythroblast_rep2"
"HSC_rep1",1,0.786568418168584,0.346880292888321,0.321183315410026,0.767958802865151,0.827287482627843,0.335640601412241,0.338881686947065
"HSC_rep2",0.786568418168584,1,0.246922703675544,0.221574197564749,0.692425833557087,0.757822588274704,0.261689042400065,0.268633581702216
"CMP_rep1",0.346880292888321,0.246922703675544,1,0.775089492479667,0.268823030391506,0.351440739296989,0.609487460622788,0.645328105370509
"CMP_rep2",0.321183315410026,0.221574197564749,0.775089492479667,1,0.243568441211552,0.324977716452573,0.616830519089879,0.658358298363687
"CFUE_rep1",0.767958802865151,0.692425833557087,0.268823030391506,0.243568441211552,1,0.807715683833461,0.27801077628466,0.284406622763809
"CFUE_rep2",0.827287482627843,0.757822588274704,0.351440739296989,0.324977716452573,0.807715683833461,1,0.340080782043105,0.342410851303228
"Erythroblast_rep1",0.335640601412241,0.261689042400065,0.609487460622788,0.616830519089879,0.27801077628466,0.340080782043105,1,0.78463490204557
"Erythroblast_rep2",0.338881686947065,0.268633581702216,0.645328105370509,0.658358298363687,0.284406622763809,0.342410851303228,0.78463490204557,1
