"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","method","direction","gene_ratio","bg_ratio","fold_enrichment"
"GO:0007346","regulation of mitotic cell cycle","110/1056","414/11010",0.265700483091787,2.77022946859903,11.9582007128411,2.49620223132522e-24,6.29777139420815e-22,5.93369682108824e-22,"76464/381293/11799/108000/218977/108912/52276/268697/12236/77011/12580/12190/12189/20135/66977/70799/17345/27214/20133/214444/67052/66442/20878/12144/18817/14235/12581/12534/12235/19357/68014/16906/12021/19650/20877/28010/208628/14056/209334/72776/20460/56637/108907/12445/68094/229841/21423/52563/234736/77744/237877/223723/22137/12532/70385/14841/269582/71943/12447/59008/194655/68612/16319/67141/22629/12237/66468/26951/67121/18854/230809/107995/77044/225182/72057/56150/20587/20184/17120/18763/234664/268930/219114/381921/67628/105782/67153/52679/18392/66197/75826/72508/17535/79263/103733/268465/13383/66214/22390/12545/50754/67333/56456/68964/77045/54124/68145/219103/105837/67629",110,"DESeq2","Up in CFUE",0.104166666666667,0.0376021798365123,2.77022946859903
"GO:0033044","regulation of chromosome organization","75/1056","220/11010",0.340909090909091,3.55436466942149,12.4649515124071,5.90031047816658e-24,1.33191745478192e-21,1.25491922025936e-21,"76464/70099/11799/54392/14211/78658/208084/76044/52276/68298/268697/68549/215387/12236/21335/66977/70799/214444/67052/66442/101706/18817/12534/12235/19357/68014/18005/20877/208628/209334/16905/68094/229841/52563/22385/22137/218973/70385/14841/59008/68612/16319/67141/217232/12237/66468/26951/18854/107995/77044/72057/52864/56150/20587/17120/52683/19822/219114/21749/11991/14156/67459/18519/53379/17535/105377/269400/28113/56456/68964/77045/67629/51797/21750/214627",75,"DESeq2","Up in CFUE",0.0710227272727273,0.0199818346957312,3.55436466942149
"GO:0051321","meiotic cell cycle","69/1056","203/11010",0.339901477832512,3.5438591580833,11.9150421414557,4.90766147474382e-22,9.56770912053466e-20,9.01459923518734e-20,"12316/76464/70099/11799/15270/21973/14211/78658/228421/234396/72415/68298/68549/215387/12190/66977/105988/17345/67052/20878/101706/18817/12617/18005/17427/60530/56637/229841/77053/66140/12442/22137/12532/14841/12447/16319/67141/12237/66468/50878/18861/67121/22026/230809/107995/225182/52864/259279/17687/214901/52683/19362/268930/219114/21749/74237/66197/17535/103733/268465/328580/19366/51885/104806/623474/14087/67333/74386/17864",69,"DESeq2","Up in CFUE",0.0653409090909091,0.0184377838328792,3.5438591580833
"GO:0045839","negative regulation of mitotic nuclear division","33/1056","55/11010",0.6,6.25568181818182,12.7265677987353,2.58078135908059e-20,2.91288717081491e-18,2.74449297437961e-18,"76464/11799/52276/268697/12236/66977/70799/214444/67052/66442/18817/12235/19357/68014/20877/208628/209334/229841/22137/70385/14841/71943/16319/67141/12237/66468/26951/107995/56150/17120/219114/105837/67629",33,"DESeq2","Up in CFUE",0.03125,0.00499545867393279,6.25568181818182
"GO:0071459","protein localization to chromosome, centromeric region","26/1056","37/11010",0.702702702702703,7.3264742014742,12.5547188209149,7.70616314584856e-19,6.35610264087393e-17,5.98865593459769e-17,"76464/319156/69386/12236/319157/319172/319159/12534/68014/20877/208628/97122/100041230/22137/12615/70385/14841/13018/319160/12237/26951/326619/320332/319158/319155/105837",26,"DESeq2","Up in CFUE",0.0246212121212121,0.0033605812897366,7.3264742014742
"GO:0071824","protein-DNA complex organization","60/1056","195/11010",0.307692307692308,3.20804195804196,10.1325426933555,6.11290936865055e-17,4.2980767675643e-15,4.04960467062113e-15,"217653/97114/218977/319150/319156/69386/319162/70472/319157/260423/319159/12617/319151/319148/319154/208628/97122/270627/100041230/319149/102920/68094/229841/14957/67139/12615/50708/244349/26896/108671/319160/72155/66929/60411/72308/326619/77044/320332/114741/228980/20587/319158/19822/21749/67628/56702/320394/80838/319155/15267/381379/94112/19646/66336/56469/21374/59001/209361/26886/225895",60,"DESeq2","Up in CFUE",0.0568181818181818,0.0177111716621253,3.20804195804196
"GO:0065004","protein-DNA complex assembly","57/1056","179/11010",0.318435754189944,3.32005459624175,10.1928942689613,6.5119433312705e-17,4.50479434642245e-15,4.24437189282639e-15,"217653/97114/218977/319150/319156/69386/70472/319157/260423/319159/12617/319151/319148/319154/208628/97122/270627/100041230/319149/102920/229841/14957/67139/12615/50708/244349/26896/108671/319160/72155/66929/60411/72308/326619/320332/114741/228980/20587/319158/19822/21749/67628/56702/320394/80838/319155/15267/381379/94112/19646/66336/56469/21374/59001/209361/26886/225895",57,"DESeq2","Up in CFUE",0.0539772727272727,0.0162579473206176,3.32005459624175
"GO:0140694","membraneless organelle assembly","87/1056","362/11010",0.240331491712707,2.50572890507283,9.48798803413351,1.97475108552509e-16,1.32339178215892e-14,1.24688641732415e-14,"12316/16551/11799/71819/218977/16571/26934/72119/54141/233406/76123/52276/319675/20873/100502766/101565/381644/209737/56419/70799/214444/67052/16580/20842/20878/101706/18817/12617/18005/225659/16211/20877/216846/208628/72776/19317/20460/229841/67139/66140/12442/12615/29806/236266/277939/16319/74203/67141/22154/104625/13424/74201/106618/60411/76789/66468/107995/22350/66645/233064/104394/259279/74470/18140/73420/233833/19822/67463/99100/17865/219114/74237/320394/76478/76707/225523/18519/328580/51885/71909/103135/11835/246102/233908/219103/17245/26886",87,"DESeq2","Up in CFUE",0.0823863636363636,0.0328792007266122,2.50572890507283
"GO:0034728","nucleosome organization","35/1056","89/11010",0.393258426966292,4.10016598569969,9.56435799642023,5.73370400710849e-14,3.46364175866032e-12,3.26340840374937e-12,"97114/319150/319156/69386/319162/70472/319157/260423/319159/319151/319148/319154/97122/100041230/319149/68094/14957/50708/244349/108671/319160/66929/326619/77044/320332/114741/20587/319158/67628/56702/80838/319155/15267/19646/59001",35,"DESeq2","Up in CFUE",0.0331439393939394,0.00808356039963669,4.10016598569969
"GO:0006334","nucleosome assembly","31/1056","74/11010",0.418918918918919,4.36770577395577,9.46733679924691,2.07588617222481e-13,1.18713010568963e-11,1.11850203721699e-11,"97114/319150/319156/69386/70472/319157/260423/319159/319151/319148/319154/97122/100041230/319149/14957/50708/244349/108671/319160/66929/326619/320332/114741/319158/67628/56702/80838/319155/15267/19646/59001",31,"DESeq2","Up in CFUE",0.0293560606060606,0.00672116257947321,4.36770577395577
