"","CMP_rep1","CMP_rep2","Erythroblast_rep1","Erythroblast_rep2"
"CMP_rep1",1,0.980978212457878,0.741367839320362,0.723182453259056
"CMP_rep2",0.980978212457878,1,0.751562911710373,0.734445153138996
"Erythroblast_rep1",0.741367839320362,0.751562911710373,1,0.949217260655663
"Erythroblast_rep2",0.723182453259056,0.734445153138996,0.949217260655663,1
