"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","comparison"
52593.3624026427,11.6812601119211,0.291920763685467,40.0151738589831,0,0,"ENSMUSG00000002944.11","Erythroblast vs HSC"
82326.1159862177,6.48893335554494,0.167676077803208,38.6992195938685,0,0,"ENSMUSG00000004319.11","Erythroblast vs HSC"
21485.2300776839,8.18415640695764,0.205342908750883,39.8560459513431,0,0,"ENSMUSG00000007659.14","Erythroblast vs HSC"
15684.3450830766,7.16109951289985,0.178594063392954,40.0970747675053,0,0,"ENSMUSG00000019302.12","Erythroblast vs HSC"
46127.0991803464,8.27788370508111,0.178939264780174,46.2608568066402,0,0,"ENSMUSG00000020802.8","Erythroblast vs HSC"
213756.168206011,7.73502852605053,0.193055550171879,40.0663359285137,0,0,"ENSMUSG00000022100.9","Erythroblast vs HSC"
65087.1777524734,6.87474314116888,0.167709751636793,40.9919105721261,0,0,"ENSMUSG00000027346.11","Erythroblast vs HSC"
132757.039855098,7.83852983557876,0.172578997751367,45.4199522404903,0,0,"ENSMUSG00000034248.7","Erythroblast vs HSC"
35589.9319358324,6.44735543172526,0.155343055562425,41.5039823208214,0,0,"ENSMUSG00000040859.10","Erythroblast vs HSC"
213479.707505093,10.6944410624536,0.203094912090693,52.6573558754534,0,0,"ENSMUSG00000042066.11","Erythroblast vs HSC"
85611.8544614794,7.76624679946304,0.153335999389444,50.648555005914,0,0,"ENSMUSG00000042331.9","Erythroblast vs HSC"
79056.8267233703,10.5983440984087,0.172369597376202,61.4861568381896,0,0,"ENSMUSG00000044468.10","Erythroblast vs HSC"
208900.533542311,12.0977095316785,0.291338551393142,41.5245750136015,0,0,"ENSMUSG00000052305.5","Erythroblast vs HSC"
103938.181715488,7.08249280490352,0.154134804994398,45.9499903682425,0,0,"ENSMUSG00000053641.8","Erythroblast vs HSC"
24271.5611956034,7.89377872754973,0.184437503659918,42.7992060774417,0,0,"ENSMUSG00000056091.8","Erythroblast vs HSC"
1196996.53904271,13.3761504087351,0.28118712372385,47.5702807141041,0,0,"ENSMUSG00000069917.7","Erythroblast vs HSC"
283312.368706441,11.9273278091832,0.206843066600647,57.6636577923659,0,0,"ENSMUSG00000073940.3","Erythroblast vs HSC"
11193.6547351736,10.3037653619136,0.262674074643483,39.2264268024872,0,0,"ENSMUSG00000101823.1","Erythroblast vs HSC"
20274.5210414399,7.23820199628222,0.189756913985236,38.1446021874355,2.33697991139368e-318,1.82690329755654e-315,"ENSMUSG00000018983.9","Erythroblast vs HSC"
