"","HSC_rep1","HSC_rep2","CMP_rep1","CMP_rep2","CFUE_rep1","CFUE_rep2","Erythroblast_rep1","Erythroblast_rep2"
"HSC_rep1",1,0.970695804426764,0.944219342852007,0.948271561346241,0.752371259545294,0.751542342689113,0.773508555458599,0.75541193161254
"HSC_rep2",0.970695804426764,1,0.950625690288366,0.954600833191146,0.759645130546666,0.753188568172757,0.771024937946474,0.747111605922773
"CMP_rep1",0.944219342852007,0.950625690288366,1,0.981725039840589,0.785210171559977,0.78426256514485,0.788157829659943,0.770207938973459
"CMP_rep2",0.948271561346241,0.954600833191146,0.981725039840589,1,0.791475082448913,0.792076380838126,0.794501250824889,0.777397898057654
"CFUE_rep1",0.752371259545294,0.759645130546666,0.785210171559977,0.791475082448913,1,0.946314774031195,0.907197130183664,0.899314299481016
"CFUE_rep2",0.751542342689113,0.753188568172757,0.78426256514485,0.792076380838126,0.946314774031195,1,0.913578607679785,0.923204019004028
"Erythroblast_rep1",0.773508555458599,0.771024937946474,0.788157829659943,0.794501250824889,0.907197130183664,0.913578607679785,1,0.9530171464292
"Erythroblast_rep2",0.75541193161254,0.747111605922773,0.770207938973459,0.777397898057654,0.899314299481016,0.923204019004028,0.9530171464292,1
