"gene_id","gene_label","log2FC_deseq2","padj_deseq2","logFC_limma","padj_limma","gene_symbol_limma","entrez_id","gene_symbol","mean_log2FoldChange","best_padj","n_dars","representative_annotation","direction"
"ENSMUSG00000042453","Reln",10.7905578171543,9.916611874019e-06,13.9107400495557,0.000263884290608991,"Reln","19699","Reln",3.59079785496874,1.20547723727929e-08,8,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000042066","Tmcc2",10.4063982819979,0,10.2428439402334,9.02921776330809e-07,"Tmcc2","68875","Tmcc2",3.6808375754322,3.47729105095995e-12,13,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000078487","Ankrd65",10.2530663526888,5.57104368002877e-06,8.64885384546358,0.000972205214714309,"Ankrd65","242805","Ankrd65",5.2135533570864,3.6736332868804e-08,2,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000085447","9530026F06Rik",10.1875189216568,4.60829471154003e-06,8.59023326969843,0.000837134297997301,"9530026F06Rik","77341","9530026F06Rik",1.08919126186514,3.9270180824487e-06,11,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000038515","Grtp1",10.0937629742585,7.78089318235226e-06,8.49684915665417,0.000956948550808897,"Grtp1","66790","Grtp1",1.68729179445087,1.39211205812089e-11,5,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000073680","Tmem278",10.0822039975725,1.55030588116958e-05,8.45388136263351,0.00136434046327388,"Tmem278","320587","Tmem278",8.93209118051009,5.02557204517197e-08,1,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000031382","Asb11",10.0691126109419,1.62946706129465e-05,8.3225389214549,0.00152335153286418,"Asb11","68854","Asb11",2.0919006513578,3.38066891745466e-07,3,"3' UTR","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000042353","Frem3",9.9541540315926,1.23053002310584e-05,8.48996421902635,0.000936310930696358,"Frem3","333315","Frem3",2.95173530281239,9.21460449770974e-07,7,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000087330","Bloodlinc",9.93867297174541,2.93994288537031e-05,8.21014816261272,0.0018301166149028,"Bloodlinc","105463053","Bloodlinc",8.56705590079264,4.33546156485258e-17,5,"Promoter (2-3kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000017718","Afmid",9.85252999863983,3.19427685179822e-121,10.2700514163485,8.66233076222913e-05,"Afmid","71562","Afmid",6.0482659912373,6.19990306365802e-11,2,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000097162","2310010J17Rik",9.61002694195753,3.63099006518487e-05,8.29674503933451,0.00102145295315146,"2310010J17Rik","78329","2310010J17Rik",8.53525751214188,1.33774724118666e-08,3,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000031779","Ccl22",9.46684173007797,6.78152955462451e-05,8.15349345783081,0.00127793222893766,"Ccl22","20299","Ccl22",7.13264723260463,1.02506059262204e-08,4,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000033688","Inhca",9.34009849088774,1.11167530499587e-276,9.16019668154488,9.38983202791923e-06,"Inhca","71775","Inhca",1.18175775705357,6.65898993992818e-08,3,"Exon (ENSMUST00000150524.1/71775, exon 8 of 8)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000037872","Ackr1",9.33389513267043,9.27401942727748e-44,10.5227845187834,0.000307186003104734,"Ackr1","13349","Ackr1",0.970788249945053,1.34940260231458e-08,3,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000073400","Trim10",9.27666609013141,4.2320366768264e-157,9.57049642962225,2.77707564225397e-06,"Trim10","19824","Trim10",6.95170146230008,1.03376614760659e-08,4,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000023216","Epb42",8.99748155482982,4.26220873693708e-236,9.17436363570341,1.15116867764682e-06,"Epb42","13828","Epb42",4.0921788888028,5.24610825456283e-10,4,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000025889","Snca",8.97830470403154,3.21964355592663e-299,8.81263128620495,6.07876509726346e-06,"Snca","20617","Snca",2.21556223578327,2.73937773526699e-07,6,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000016200","Syt14",8.96836027722862,2.54433250808857e-14,9.73730066762478,0.000428231700181519,"Syt14","329324","Syt14",3.50546307399954,4.14570708967425e-08,7,"Intron (ENSMUST00000195354.5/329324, intron 2 of 7)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000020234","Tektip1",8.88183645687513,4.23088226135383e-39,9.0329560125525,0.000143276657902854,"Tektip1","432479","Tektip1",10.3852521633898,3.03061449060454e-10,1,"Promoter (2-3kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000028328","Tmod1",8.78486151025295,3.38220548487577e-19,9.70302672999031,7.17341085011129e-05,"Tmod1","21916","Tmod1",4.48409894641339,9.3511229765656e-10,5,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000022099","Dmtn",8.67787842034947,6.40996450535258e-11,8.92960422773724,9.61560340476697e-05,"Dmtn","13829","Dmtn",6.91356853499073,9.93186547073942e-10,6,"Promoter (2-3kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000096351","Samd11",8.65875855056719,3.95131854758867e-14,9.36532079102994,0.000238825808783428,"Samd11","231004","Samd11",3.33458875793703,2.97570784089515e-09,5,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000039652","Cpeb3",8.53755928491689,5.82971003734118e-311,8.413135968297,2.53272658192953e-05,"Cpeb3","208922","Cpeb3",3.97029284047215,3.34083097742946e-09,9,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000020932","Gfap",8.49565284102904,4.24387312049381e-05,11.0375580574437,0.000592992238645139,"Gfap","14580","Gfap",1.88855826009071,2.9677846076198e-11,3,"Exon (ENSMUST00000067444.9/14580, exon 6 of 9)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000007659","Bcl2l1",8.40835974125822,0,8.35873853321043,1.64218679017825e-06,"Bcl2l1","12048","Bcl2l1",4.13145839577315,8.2008569559646e-10,6,"Intron (ENSMUST00000007803.11/12048, intron 2 of 2)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000014503","Pkd2l2",8.31575342070573,6.51357741427949e-46,8.23794437632823,0.0002090143328525,"Pkd2l2","53871","Pkd2l2",0.137375570666955,0.00106755492887062,2,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000020490","Btnl10",8.2335704156876,0,8.09640466308652,1.58250962387092e-06,"Btnl10","192194","Btnl10",5.91479793127135,2.11585846052781e-08,8,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
