"gene_id","gene_symbol","log2FC_deseq2","padj_deseq2","logFC_limma_voom","padj_limma_voom","same_direction"
"ENSMUSG00000034265","Zdhhc14",5.33472027501015,1.32583252396937e-41,5.164710065879,4.8615304867368e-05,TRUE
"ENSMUSG00000034297","Med13",2.4721546753946,2.36050595067299e-81,2.40712042724041,1.20662132123132e-05,TRUE
"ENSMUSG00000034311","Kif4",1.10394483690275,6.73406127929608e-11,1.03819808086089,0.00203731194506373,TRUE
"ENSMUSG00000034312","Iqsec1",4.99118594612208,1.17060616294942e-49,4.85048493419625,2.29640352932611e-05,TRUE
"ENSMUSG00000034317","Trim59",4.23209037562467,1.10138693622758e-89,4.12665060161302,6.06347392797779e-06,TRUE
"ENSMUSG00000034327","Kctd9",2.02196396318786,9.97108892510777e-14,2.05372699187559,0.000604951175533453,TRUE
"ENSMUSG00000034341","Wbp2",2.23616834663272,5.94608890719087e-14,2.22203554473491,0.000539214703555577,TRUE
"ENSMUSG00000034343","Ube2f",3.63384724583177,1.716353185301e-59,3.6662479445215,1.01259214849404e-05,TRUE
"ENSMUSG00000034353","Ramp1",-1.47709314633128,1.77045643464323e-09,-1.6100631894777,0.00511364568669071,TRUE
"ENSMUSG00000034354","Mtmr3",4.79486696818035,0,4.72555744508635,9.35187016733389e-07,TRUE
"ENSMUSG00000034390","Cmip",1.36128430992983,6.54881645359808e-06,1.26057313915454,0.00851747681772127,TRUE
"ENSMUSG00000034403","Pja1",-1.46404577184991,1.46182924685845e-05,-1.62581924114867,0.0213666308079591,TRUE
"ENSMUSG00000034422","Parp14",2.38952809089292,8.31252832521208e-38,2.32663874474169,6.16534899508065e-05,TRUE
"ENSMUSG00000034424","Gcsh",-1.3027412869103,0.000151347499903865,-1.37352394273648,0.0306414728571387,TRUE
"ENSMUSG00000034438","Gbp8",3.74780943599285,0.00483921237754798,6.76274428333935,0.012688221474421,TRUE
"ENSMUSG00000034449","Dhrs11",6.93448227915123,4.68829926919511e-300,6.87607833695254,3.29502394706144e-06,TRUE
"ENSMUSG00000034452","Slc24a1",2.81849943571113,0.0192061059582829,6.04889041896352,0.0196008764956045,TRUE
"ENSMUSG00000034453","Polr3b",2.1687634863027,2.75685258837513e-20,2.09615641850869,0.000188496631246674,TRUE
"ENSMUSG00000034459","Ifit1",6.75938790121407,2.83125130595826e-07,7.55444827196748,0.00072375238903154,TRUE
"ENSMUSG00000034485","Uaca",-6.82356704355513,0.00072246094272295,-6.03236782744281,0.000914339478348925,TRUE
"ENSMUSG00000034486","Gbx2",-6.26837752558786,0.0021349275052035,-5.65912855425775,0.00157493056234162,TRUE
"ENSMUSG00000034487","Poglut3",-2.72600814918239,2.66278902465546e-05,-2.91584782362772,0.0232316790771858,TRUE
"ENSMUSG00000034501","Pcnx4",-2.88127793709115,0.0129267942079871,-5.13298660627354,0.0147659433377793,TRUE
"ENSMUSG00000034509","Mad2l1bp",3.45457896712114,5.06169770712499e-09,3.40933469263255,0.00178055224033705,TRUE
"ENSMUSG00000034525","Ice1",-1.10912081173565,4.10405181685002e-05,-1.19241543241239,0.010842889983685,TRUE
"ENSMUSG00000034544","Rsrc1",-1.69944233263964,3.79943042359049e-07,-1.78346490096838,0.00885010887426638,TRUE
"ENSMUSG00000034551","Hdx",-5.2414874502353,0.0075340799296237,-5.57303551255051,0.00159212815522419,TRUE
"ENSMUSG00000034557","Zfyve9",2.38135658646362,0.0267399133767592,6.13213151266367,0.0231683339485793,TRUE
"ENSMUSG00000034563","Ccpg1",2.78520084269395,2.51278856235592e-44,2.71001197177536,3.85731066784258e-05,TRUE
"ENSMUSG00000034574","Daam1",3.07540014768548,4.57514697347477e-50,3.01536537314996,2.07876504409764e-05,TRUE
"ENSMUSG00000034601","2700049A03Rik",1.13571862457311,4.47372252705055e-07,1.06371861205255,0.0056767707755939,TRUE
"ENSMUSG00000034610","Tut4",-1.04839614877754,3.32953429303738e-07,-1.14293856468404,0.00680947216941715,TRUE
"ENSMUSG00000034620","Rxylt1",-2.01225791333594,9.83864781976727e-05,-2.13132883599895,0.0440574059784575,TRUE
"ENSMUSG00000034621","Gpatch8",1.70829049539456,6.95934622809125e-28,1.64627633350441,0.000161030694937465,TRUE
"ENSMUSG00000034636","Zyg11b",-1.1592426004663,1.44242387412734e-07,-1.24987417055348,0.00657991786679728,TRUE
"ENSMUSG00000034640","Tiparp",-1.55967566790496,0.00303198651677426,-2.19418030703499,0.01304681583939,TRUE
"ENSMUSG00000034641","Cd300ld",4.83915978105627,0.00026453781316184,7.3792780131486,0.0069919235041876,TRUE
"ENSMUSG00000034663","Bmp2k",4.82102225449512,5.61023843087317e-317,4.7485932612965,9.74801657655445e-07,TRUE
"ENSMUSG00000034685","Fam171a2",-4.88064447567959,0.010196848954881,-5.56290874672662,0.00212638853172769,TRUE
"ENSMUSG00000034708","Grn",1.81075183986732,2.9936466218093e-07,1.83466048228323,0.00222828694152127,TRUE
"ENSMUSG00000034723","Tmx4",1.38462419486065,3.91229178240794e-15,1.31156418648889,0.000624971382507958,TRUE
"ENSMUSG00000034724","Cnot6l",-1.97305587332064,5.75811701753589e-25,-2.07581222042842,0.000732928531118653,TRUE
"ENSMUSG00000034729","Mrps10",-1.21101660331238,0.0320850493898536,-1.88251598410076,0.031182330765271,TRUE
"ENSMUSG00000034731","Dgkh",3.46726464440351,4.6741020654656e-05,3.63730081722224,0.0177038172360306,TRUE
"ENSMUSG00000034751","Mast4",-2.01556557294301,0.000134390302640175,-2.27787979141481,0.0395588153819045,TRUE
"ENSMUSG00000034757","Tmub2",1.02543474113127,0.00798997793438729,1.09409720970057,0.0247375306388407,TRUE
"ENSMUSG00000034758","Tle6",-4.79476197397486,0.00258625261283693,-5.39880024513155,0.00305129503523868,TRUE
"ENSMUSG00000034761","Map4k5",5.75028410084892,2.90545251938458e-276,5.73409911763909,9.35187016733389e-07,TRUE
"ENSMUSG00000034765","Dusp5",-2.01848868112192,0.00492859103507451,-2.74690256387367,0.0347784115580619,TRUE
"ENSMUSG00000034795","Ccdc122",-2.17248931604642,0.000326416134083041,-2.42184455169394,0.0400004458966097,TRUE
"ENSMUSG00000034807","Colgalt1",-1.16663631211658,8.39133756292143e-07,-1.27024830901247,0.00888055670171803,TRUE
"ENSMUSG00000034825","Nrip3",6.10440976315157,1.44655541223026e-55,6.11480906508225,0.000372624870065811,TRUE
"ENSMUSG00000034832","Tet3",1.54106034418548,1.1824410961505e-12,1.46575709225897,0.00109262926222975,TRUE
"ENSMUSG00000034833","Tespa1",-2.10165594518422,0.000288700428010222,-2.62444869817899,0.0224615653695846,TRUE
"ENSMUSG00000034863","Ano8",-3.71942274333632,0.0030039140272149,-5.3669763374298,0.00852331189654098,TRUE
"ENSMUSG00000034881","Tbxa2r",-5.31072924288008,0.0070011418523637,-5.47578249623861,0.00153584652959567,TRUE
"ENSMUSG00000034903","Cobll1",-2.27649989983164,0.0118928588708743,-3.49118768734507,0.0228420540462052,TRUE
"ENSMUSG00000034908","Sidt2",3.21627955768679,8.50078409067747e-47,3.15517974739114,3.45200043875625e-05,TRUE
"ENSMUSG00000034926","Dhcr24",-1.43438178224171,0.000734366138889003,-1.63188673470542,0.0480709262831161,TRUE
"ENSMUSG00000034928","Rnf44",1.02179728053662,0.00241495672702821,1.03449132720369,0.0223446823817038,TRUE
"ENSMUSG00000034931","Dhx8",2.14484836868558,1.5452304437147e-14,2.03507061042937,0.000684545279329705,TRUE
"ENSMUSG00000034947","Tmem106a",3.11688759887894,0.000138079845067128,3.78130137815587,0.0100226625483566,TRUE
"ENSMUSG00000034981","Parm1",-3.93539537149591,0.00288513250513213,-5.65437424050418,0.00964506771678207,TRUE
"ENSMUSG00000035000","Dpp4",-2.09853166747359,0.000451034673028952,-2.39803850311085,0.0158048645376526,TRUE
"ENSMUSG00000035004","Igsf6",2.71496809997778,1.72098242259559e-59,2.64950918816907,2.59606366398246e-05,TRUE
"ENSMUSG00000035024","Ncapd3",1.08395610514841,2.68966295109612e-08,1.02940312804253,0.0025576346974304,TRUE
"ENSMUSG00000035049","Rrp12",-1.5025747859275,3.76668073576713e-05,-1.57916226727641,0.0296618946335772,TRUE
"ENSMUSG00000035051","Dhx57",-1.50206447569752,3.54922835256047e-05,-1.68294640969924,0.0215725070316333,TRUE
"ENSMUSG00000035085","1700020L24Rik",2.49353386287654,0.000910330787138918,3.18355334544772,0.00934845099556523,TRUE
"ENSMUSG00000035086","Becn1",2.81038447808233,1.42542083684085e-63,2.74075303053652,1.24355809735537e-05,TRUE
"ENSMUSG00000035093","Secisbp2l",1.7904676434771,9.27330215493686e-19,1.73072704561223,0.000414895838777394,TRUE
"ENSMUSG00000035112","Wnk4",11.8293030943105,6.2457826415831e-10,9.7871729824684,0.000222284721508618,TRUE
"ENSMUSG00000035142","Nubpl",-7.22018788540882,0.000302443919586937,-6.17600677332352,0.000954693576167655,TRUE
"ENSMUSG00000035171","1110059E24Rik",-1.11610748119014,0.0028000176072155,-1.25882986425613,0.0498331388993763,TRUE
"ENSMUSG00000035173","Ccdc186",2.58477616780215,3.85383982041043e-23,2.55299411692596,0.000120867176807111,TRUE
"ENSMUSG00000035186","Ubd",5.18289566802479,0.000617205104819243,6.12315988246849,0.00951830540992571,TRUE
"ENSMUSG00000035203","Epn1",1.79299567694401,1.32988835901614e-18,1.72463455536629,0.000364383987371143,TRUE
"ENSMUSG00000035206","Sppl2b",4.07663976218257,3.37695579427847e-153,4.0132764435316,3.78950989096073e-06,TRUE
"ENSMUSG00000035239","Neu3",2.83750189268828,5.14318576084827e-20,2.84490892509255,0.000369471695568946,TRUE
